City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Kavaratti,IN,78.57,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
386,Ocos,GT,78.01,broken clouds,14.5094,-92.1933,Auto Hotel El Soñador
392,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
399,Xai-Xai,MZ,76.01,light rain,-25.0519,33.6442,Complexo da Familia
403,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
408,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
411,Lubao,PH,89.62,overcast clouds,14.9167,120.55,Hacienda Gracia
417,Luwuk,ID,84.47,light rain,-0.9516,122.7875,Hotel Santika Luwuk
427,Ghugus,IN,81.39,clear sky,19.9333,79.1333,Rajiv Colony Tempo Club
435,Liku,ID,87.98,overcast clouds,-0.7275,119.8922,Wahyu
437,Male,MV,81.82,broken clouds,4.1748,73.5089,Hotel Octave Maldives
441,Barwani,IN,75.96,clear sky,22.0333,74.9,Shree Mahalaxmi Guest House
444,Auki,SB,80.44,heavy intensity rain,-8.7676,160.7034,Auki Motel
449,Ahipara,NZ,77.07,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
450,Sola,VU,80.49,moderate rain,-13.8833,167.55,Leumerus Bungalows
453,Tutoia,BR,77.63,few clouds,-2.7619,-42.2744,Pousada Guará's
465,Cairns,AU,85.95,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
469,Palauig,PH,85.03,broken clouds,15.435,119.9045,Alperi Botique Resort
471,Bairiki,KI,86.0,light rain,1.3292,172.9752,Tarawa Boutique Hotel
472,Bathurst,AU,78.96,clear sky,-33.4166,149.5806,Bathurst Motor Inn
475,Saint-Pierre,RE,82.08,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
494,Wattegama,LK,84.33,broken clouds,6.7989,81.4808,
497,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
499,Nelson Bay,AU,76.28,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
501,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
510,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
513,Keningau,MY,86.45,broken clouds,5.3378,116.1602,Sabindo Hotel
514,Moerai,PF,79.61,overcast clouds,-22.4333,-151.3333,Le Manotel
526,Mitsamiouli,KM,81.41,moderate rain,-11.3847,43.2844,Foyer ADM
529,Japura,ID,84.2,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
537,Bandarbeyla,SO,77.38,clear sky,9.4942,50.8122,JABIR HOTEL
539,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
544,Conakry,GN,75.27,mist,9.538,-13.6773,Riviera Royal Hotel
551,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
552,Sambava,MG,80.67,scattered clouds,-14.2667,50.1667,Melrose
553,Kirakira,SB,81.9,light rain,-10.4544,161.9205,SanBiz Lodge
557,Port Hedland,AU,84.25,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
558,Benguela,AO,76.12,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
568,Hervey Bay,AU,82.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
572,Galle,LK,82.92,overcast clouds,6.0367,80.217,Amangalla
578,Banda Aceh,ID,84.36,broken clouds,5.5577,95.3222,Sulthan Hotel International
594,Kadugannawa,LK,84.87,overcast clouds,7.2547,80.5242,Juliyanvilla
599,North Shore,NZ,80.4,overcast clouds,-36.8,174.75,Poenamo Hotel
602,Padang,ID,87.85,overcast clouds,-0.9492,100.3543,Mercure Padang
604,Amahai,ID,86.54,broken clouds,-3.3333,128.9167,HOTEL ISABELA
609,Quang Ngai,VN,81.1,broken clouds,15.1167,108.8,Central Hotel
614,Tabuk,PH,81.48,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
618,Sao Joao Do Piaui,BR,76.62,broken clouds,-8.3581,-42.2467,Nayra Palace Hotel
624,Rabaul,PG,84.24,light rain,-4.1967,152.1721,Rabaul Hotel
625,Cap Malheureux,MU,82.89,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
627,Broken Hill,AU,88.83,broken clouds,-31.95,141.4333,Royal Exchange Hotel
637,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
641,Puri,IN,81.12,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
642,Kudahuvadhoo,MV,81.88,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
648,Grenfell,AU,76.33,clear sky,-33.9,148.1667,Grenfell Royal Hotel
653,Sinnamary,GF,76.48,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
654,Itacare,BR,75.67,overcast clouds,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
663,Oranjestad,AW,79.32,clear sky,12.524,-70.027,Divi Village Golf & Beach Resort
664,Bambanglipuro,ID,87.93,overcast clouds,-7.95,110.2833,Puri Brata
674,Vanimo,PG,84.31,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
677,Pemba,MZ,77.23,overcast clouds,-12.974,40.5178,Guesthouse Samotina
678,Lakes Entrance,AU,78.57,overcast clouds,-37.8811,147.981,The Esplanade Resort & Spa
