City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,College,US,64.8569,-147.8028,-1.88,71,75,5.75,broken clouds
142,Krasnoselkup,RU,65.7,82.4667,-19.01,98,56,6.64,broken clouds
143,Hovd,MN,48.0056,91.6419,-3.98,70,3,3.42,clear sky
144,Port Elizabeth,ZA,-33.918,25.5701,62.89,94,75,4.61,mist
145,Storsteinnes,NO,69.2408,19.2344,25.38,91,100,7.05,overcast clouds
146,Port Lincoln,AU,-34.7333,135.8667,72.45,52,98,12.82,overcast clouds
147,Melfi,IT,40.9965,15.6514,38.5,66,33,13.53,scattered clouds
148,Usinsk,RU,65.9939,57.5281,7.07,85,100,9.93,overcast clouds
149,Khatanga,RU,71.9667,102.5,-10.59,90,100,13.38,overcast clouds
150,Grindavik,IS,63.8424,-22.4338,28.87,93,100,46.04,light shower snow
151,Vanavara,RU,60.34,102.2797,-4.02,85,97,8.21,overcast clouds
152,Bengkulu,ID,-3.8004,102.2655,84.27,67,87,10.25,overcast clouds
153,Teya,RU,60.3778,92.6267,-3.98,89,88,3.83,overcast clouds
154,Nova Odesa,UA,47.3078,31.7851,38.55,87,100,6.51,overcast clouds
155,Beringovskiy,RU,63.05,179.3167,-19.84,91,5,11.52,clear sky
156,Chuy,UY,-33.6971,-53.4616,61.12,81,20,7.07,few clouds
157,Altay,CN,47.8667,88.1167,14.09,67,2,0.29,clear sky
158,Udachnyy,RU,66.4167,112.4,-20.56,98,98,4.5,overcast clouds
159,Burnie,AU,-41.0667,145.9167,70.95,61,52,10.65,broken clouds
160,Adrar,MR,20.5022,-10.0711,63.23,12,82,10.04,broken clouds
161,Longyearbyen,SJ,78.2186,15.6401,21.04,79,75,19.57,light snow
162,Broome,US,42.2506,-75.833,32.0,75,100,3.0,fog
163,Fortuna,US,40.5982,-124.1573,48.65,95,75,0.0,broken clouds
164,Kendari,ID,-3.945,122.4989,84.43,71,67,5.35,moderate rain
165,Donauworth,DE,48.7,10.8,36.23,81,74,9.8,broken clouds
166,Pabrade,LT,55.0,25.7833,32.43,94,95,7.45,overcast clouds
167,Denpasar,ID,-8.65,115.2167,89.26,70,20,8.05,few clouds
168,Kahului,US,20.8947,-156.47,73.85,79,75,19.57,broken clouds
169,Esperance,AU,-33.8667,121.9,69.62,54,42,14.58,scattered clouds
170,Norman Wells,CA,65.282,-126.8329,-21.59,96,100,6.58,overcast clouds
171,Sobolevo,RU,54.4299,31.8996,30.34,81,100,10.96,overcast clouds
172,Victoria,HK,22.2855,114.1577,66.25,80,93,11.01,overcast clouds
